"Series";"Time";"Value"
"Solar Irradiance";"2022-02-05T04:38:40+03:00";123.38999977111799
"Solar Irradiance";"2022-02-05T04:39:00+03:00";118.19500083923398
"Solar Irradiance";"2022-02-05T04:39:20+03:00";111.87999916076596
"Solar Irradiance";"2022-02-05T04:39:40+03:00";110.82500114441002
"Solar Irradiance";"2022-02-05T04:40:00+03:00";110.72999916076601
"Solar Irradiance";"2022-02-05T04:40:20+03:00";111.93000030517598
"Solar Irradiance";"2022-02-05T04:40:40+03:00";115.01500015258803
"Solar Irradiance";"2022-02-05T04:41:00+03:00";119.10999984741197
"Solar Irradiance";"2022-02-05T04:41:20+03:00";124.67500038147003
"Solar Irradiance";"2022-02-05T04:41:40+03:00";131.485001754762
"Solar Irradiance";"2022-02-05T04:42:00+03:00";139.540000915528
"Solar Irradiance";"2022-02-05T04:42:20+03:00";147.94999923706
"Solar Irradiance";"2022-02-05T04:42:40+03:00";156.10999984741198
"Solar Irradiance";"2022-02-05T04:43:00+03:00";162.80000152588002
"Solar Irradiance";"2022-02-05T04:43:20+03:00";168.16999969482399
"Solar Irradiance";"2022-02-05T04:43:40+03:00";172.38500061035197
"Solar Irradiance";"2022-02-05T04:44:00+03:00";175.189999389648
"Solar Irradiance";"2022-02-05T04:44:20+03:00";176.81999969482405
"Solar Irradiance";"2022-02-05T04:44:40+03:00";177.580001068116
"Solar Irradiance";"2022-02-05T04:45:00+03:00";177.42500076294002
"Solar Irradiance";"2022-02-05T04:45:20+03:00";177.14500122070402
"Solar Irradiance";"2022-02-05T04:45:40+03:00";176.544999694824
"Solar Irradiance";"2022-02-05T04:46:00+03:00";175.744999694824
"Solar Irradiance";"2022-02-05T04:46:20+03:00";174.254999542236
"Solar Irradiance";"2022-02-05T04:46:40+03:00";172.28500137329203
"Solar Irradiance";"2022-02-05T04:47:00+03:00";170.47499923706
"Solar Irradiance";"2022-02-05T04:47:20+03:00";168.270000457764
"Solar Irradiance";"2022-02-05T04:47:40+03:00";165.18000030517598
"Solar Irradiance";"2022-02-05T04:48:00+03:00";161.54499816894398
"Solar Irradiance";"2022-02-05T04:48:20+03:00";157.86499862670797
"Solar Irradiance";"2022-02-05T04:48:40+03:00";154.469999694824
"Solar Irradiance";"2022-02-05T04:49:00+03:00";151.45000076293996
"Solar Irradiance";"2022-02-05T04:49:20+03:00";149.49500122070404
"Solar Irradiance";"2022-02-05T04:49:40+03:00";148.28000030517597
"Solar Irradiance";"2022-02-05T04:50:00+03:00";147.12500228882
"Solar Irradiance";"2022-02-05T04:50:20+03:00";145.970000457764
"Solar Irradiance";"2022-02-05T04:50:40+03:00";144.34499893188396
"Solar Irradiance";"2022-02-05T04:51:00+03:00";142.79999923706
"Solar Irradiance";"2022-02-05T04:51:20+03:00";141.43000106811604
"Solar Irradiance";"2022-02-05T04:51:40+03:00";140.319998931884
"Solar Irradiance";"2022-02-05T04:52:00+03:00";139.535001373292
"Solar Irradiance";"2022-02-05T04:52:20+03:00";138.61500015258798
"Solar Irradiance";"2022-02-05T04:52:40+03:00";137.16315821597473
"Solar Irradiance";"2022-02-05T04:53:00+03:00";135.25000152588
"Solar Irradiance";"2022-02-05T04:53:20+03:00";134.00499954223602
"Solar Irradiance";"2022-02-05T04:53:40+03:00";132.740000152588
"Solar Irradiance";"2022-02-05T04:54:00+03:00";132.080001831056
"Solar Irradiance";"2022-02-05T04:54:20+03:00";131.91052487021895
"Solar Irradiance";"2022-02-05T04:54:40+03:00";131.515000915528
"Solar Irradiance";"2022-02-05T04:55:00+03:00";131.334998321532
"Solar Irradiance";"2022-02-05T04:55:20+03:00";131.409998321532
"Solar Irradiance";"2022-02-05T04:55:40+03:00";131.60500106811597
"Solar Irradiance";"2022-02-05T04:56:00+03:00";131.56000366211197
"Solar Irradiance";"2022-02-05T04:56:20+03:00";131.73499908447198
"Solar Irradiance";"2022-02-05T04:56:40+03:00";132.34499969482403
"Solar Irradiance";"2022-02-05T04:57:00+03:00";134.04499969482399
"Solar Irradiance";"2022-02-05T04:57:20+03:00";136.69499969482402
"Solar Irradiance";"2022-02-05T04:57:40+03:00";140.14499969482398
"Solar Irradiance";"2022-02-05T04:58:00+03:00";143.085001373292
"Solar Irradiance";"2022-02-05T04:58:20+03:00";145.47499923706
"Solar Irradiance";"2022-02-05T04:58:40+03:00";147.02500076293998
"Solar Irradiance";"2022-02-05T04:59:00+03:00";147.095002746584
"Solar Irradiance";"2022-02-05T04:59:20+03:00";146.95
"Solar Irradiance";"2022-02-05T04:59:40+03:00";146.19500045776402
"Solar Irradiance";"2022-02-05T05:00:00+03:00";144.989998626708
"Solar Irradiance";"2022-02-05T05:00:20+03:00";142.964998626708
"Solar Irradiance";"2022-02-05T05:00:40+03:00";140.414999389648
"Solar Irradiance";"2022-02-05T05:01:00+03:00";137.859999847412
"Solar Irradiance";"2022-02-05T05:01:20+03:00";135.315000152588
"Solar Irradiance";"2022-02-05T05:01:40+03:00";133.25000076294
"Solar Irradiance";"2022-02-05T05:02:00+03:00";131.98499984741198
"Solar Irradiance";"2022-02-05T05:02:20+03:00";131.23500137329202
"Solar Irradiance";"2022-02-05T05:02:40+03:00";130.839998626708
"Solar Irradiance";"2022-02-05T05:03:00+03:00";130.93499984741203
"Solar Irradiance";"2022-02-05T05:03:20+03:00";131.660000610352
"Solar Irradiance";"2022-02-05T05:03:40+03:00";132.459998321532
"Solar Irradiance";"2022-02-05T05:04:00+03:00";132.67499999999998
"Solar Irradiance";"2022-02-05T05:04:20+03:00";131.99999923706
"Solar Irradiance";"2022-02-05T05:04:40+03:00";130.83499984741195
"Solar Irradiance";"2022-02-05T05:05:00+03:00";129.540000915528
"Solar Irradiance";"2022-02-05T05:05:20+03:00";128.10499839782602
"Solar Irradiance";"2022-02-05T05:05:40+03:00";126.94999923706003
"Solar Irradiance";"2022-02-05T05:06:00+03:00";126.06499977111802
"Solar Irradiance";"2022-02-05T05:06:20+03:00";125.32999992370603
"Solar Irradiance";"2022-02-05T05:06:40+03:00";123.92000007629402
"Solar Irradiance";"2022-02-05T05:07:00+03:00";121.86999969482399
"Solar Irradiance";"2022-02-05T05:07:20+03:00";118.92000007629399
"Solar Irradiance";"2022-02-05T05:07:40+03:00";115.85
"Solar Irradiance";"2022-02-05T05:08:00+03:00";113.17999954223599
"Solar Irradiance";"2022-02-05T05:08:20+03:00";110.85499992370599
"Solar Irradiance";"2022-02-05T05:08:40+03:00";108.775
